"Date","Code","Country.Name","Continent","Continent.Sub.Region","Ethnic.Cultural.Region","Income.Group","Democracy.Status","Annual.Inflation..","Inflation.Volatility","X1.year.ahead.Inflation.forecast..","X2.year.ahead.Inflation.forecast..","GDP","current.USD..billions.","Real.GDP.Growth","y.o.y..","X1.year.ahead.GDP.growth.forecast..","X2.year.ahead.GDP.growth.forecast..","GDP.per.capita","current.USD..thousands.","GDP.per.capita.growth","y.o.y...1","General.Government.Debt","X..GDP","Country.credit.rating","X0...100..best.","Current.Account.Balance","X3.Year.Average....GDP.","Imports","X..of.GDP","Exports","X..of.GDP.1","Minerals.and.Metals....total.exports.","Total.Population..Millions.","Life.expectancy","years","Age.dependency.ratio","old....working.age.pop.","Age.dependency.ratio.1","young....working.age.pop.","Adult.literacy.rate","X.","Primary.education.enrollment","net..","Secondary.education.enrollment....of.24..population.","Tertiary.education.enrollment..per.100","X000.","Emigration.of.tertiary.educated","X..of.univ.educated","Employment.to.Working.Age.Population","Seismic.Activity","X..of.Population.Affected..Time.Weighted.Cumulative.Sum.","Storm","X..of.Population.Affected..Time.Weighted.Cumulative.Sum..1","Flood","X..of.Population.Affected..Time.Weighted.Cumulative.Sum..2","Droughts","X..of.Population.Affected..Time.Weighted.Cumulative.Sum..3","Extreme.Temperature","X..of.Population.Affected..Time.Weighted.Cumulative.Sum..4","Wildfires","X..of.Population.Affected..Time.Weighted.Cumulative.Sum..5"
"01-01-2007","AFG","Afghanistan","Asia","Southern Asia","Indo-Persian Sphere","low income","autocratic rule",4,1.2,3,3,7.1,5.6,5.4,5.4,0.2,9.5,46.7,21.6,-0.4,55.7,24.2,0.3,28.4,44.6,4.5,79.4,88,82.9,3.5,122,22.6,46.7,0,0,0,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","AGO","Angola","Africa","Middle Africa","African Sphere","lower middle income","autocratic rule",12.2,13.8,6.2,6.2,41.8,20.7,2.6,2.6,2.5,43.5,20.6,36.4,3.1,40.9,79.8,36.9,17,48.1,5.4,82.5,69.6,86.7,2.7,297,3.7,67.6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","ALB","Albania","Europe","Southern Europe","East European Sphere","lower middle income","democratic rule",2.9,0.7,5.7,5.7,9,5.4,3,3,2.9,9.8,56.7,38.2,-6.4,42.1,25.1,9.5,3.2,76.9,15.5,29.9,99,93.6,26.1,1732.5,17.5,58.6,0,0.1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","ARE","U.A.E.","Asia","Western Asia","Arabic-Semitic Sphere","high income","autocratic rule",0.7,0.5,1.3,1.3,222.1,8.8,4.8,4.8,47.6,7.3,6.8,76.5,5.4,73.2,68.6,56.2,4.7,77.7,1.2,26.1,90,88,17.1,1840.4,0.7,76,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","ARG","Argentina","South America","Southern South America","Latin American Sphere","upper middle income","democratic rule",13.8,1,25,25,214,8.5,3,3,5.5,15.9,76.5,31.1,2.5,20.3,24.8,20.6,39,75.7,17.5,39.7,97.7,98.5,13.4,5728.2,2.8,65.8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","ARM","Armenia","Asia","Western Asia","East European Sphere","lower middle income","democratic rule",-0.1,3.5,5.7,5.7,6.4,13.2,3,3,2.1,30.1,16.2,39,-1.6,39.6,23.4,64.9,3.1,74.2,13.6,23.9,99.5,82.2,28,3291.5,8.9,49.6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","AUS","Australia","Australia-Pacific","Australasia","Anglosaxon Sphere","high income","democratic rule",2.5,0.6,2.5,2.5,784.5,2.7,2.7,2.7,37.8,4.6,10,87.6,-5.2,23.9,19.5,52.1,20.7,81.9,21.3,26.9,97.6,96.4,21.4,5107,2.7,74.2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","AUT","Austria","Europe","Western Europe","German Sphere","high income","democratic rule",1.5,0.6,1.6,1.6,322.6,3.7,-0.7,-0.7,39,5.8,62.3,87.6,2.2,53.9,56.4,6.6,8.3,80.4,27.4,20.5,94.5,97.4,20.6,3090.6,13.5,71.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","AZE","Azerbaijan","Asia","Western Asia","Turkic Sphere","lower middle income","autocratic rule",17,3,5.7,5.7,21,34.5,3,3,2.4,56.7,10.2,48.2,-1.1,29.3,66.5,85.9,8.7,70.8,8.8,31.9,99.5,84.8,26.7,1544,1.8,65.1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BDI","Burundi","Africa","Eastern Africa","African Sphere","low income","autocratic rule",11.1,3.2,6.2,6.2,0.9,5.4,2.6,2.6,0.1,11.3,134.1,14.1,-11.4,35,7.5,38.8,7.5,51.4,4.8,88.6,65.9,74.6,3.8,243.7,9.3,80.4,0,0,0,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BEL","Belgium","Europe","Western Europe","Roman Sphere","high income","democratic rule",1.7,0.6,1.6,1.6,400,2.7,-0.7,-0.7,38.2,5.3,88,87.2,1.8,92.6,80.8,14.3,10.5,80.3,27.9,24,97.6,97.4,16.1,3809.1,5.5,62.6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BEN","Benin","Africa","Western Africa","African Sphere","upper middle income","autocratic rule",4.5,2.4,6.2,6.2,4.7,3.8,2.6,2.6,0.6,4.6,14.7,28.6,-8,27.5,11.4,7.8,7.9,62.3,5.2,84.1,40.8,80.2,8.6,543.8,8.7,75.8,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BFA","Burkina Faso","Africa","Western Africa","African Sphere","low income","autocratic rule",-1.7,3.5,6.2,6.2,6.1,5.5,2.6,2.6,0.4,7.8,21.7,26.9,-4.1,13.3,11.4,69.3,14.6,53.7,4.8,88.1,28.7,46.9,3.1,223.5,2.6,85.2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01-01-2007","BGD","Bangladesh","Asia","Southern Asia","Indo-Persian Sphere","low income","democratic rule",5.9,1,3,3,65.2,6.5,5.4,5.4,0.5,5.3,46.9,25.4,0.4,32.8,19,0.8,142.4,66.9,7.8,54.6,55,88.9,12.9,692.8,4.4,72.4,0,0,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
